hello
link2 0 0.04168581962585449 [110 96 6 0 0 0 0 0 0 0 0 0 12 4 13 4 11 4 12 5 12 4 12 5 12 5 11 6 12 6 10 6 10 6 10 6 10 6 9 6 8 6 7 6 7 5 5 4 6 4 6 2 5 2 6 2 5 2 5 1 5 1 5 1 0 0 3 0 3 1 2 0 1 0 1 0 1 -1 1 -1 0 -2 0 -3 0 -3 -1 -3 -1 -3 -1 -4 -1 -4 -2 -4 -2 -5 -2 -5 -2 -5 -2 -5 -4 -6 -3 -6 -4 -6 -4 -7 -4 -8 -5 -7 -6 -8 0 0 0 0 0 0 0 0 0 0 ]
link2 1 0.049352407455444336 [110 96 6 0 0 0 0 0 0 0 0 0 -16 19 -18 19 -18 19 -19 19 -19 18 -20 18 -20 17 -20 16 -20 16 -20 15 -20 15 -20 15 -20 14 -19 14 -19 13 -18 13 -18 13 -17 11 -17 12 -17 12 -16 12 -15 11 -14 11 -14 12 -13 11 -13 12 0 0 -11 10 -12 10 -10 11 -9 14 -11 10 -8 11 -8 10 -7 10 -6 10 -6 11 -6 11 -5 11 -4 11 -4 11 -4 10 -3 11 -3 10 -2 10 -2 11 -2 10 -2 10 -1 9 -1 9 -1 9 -1 8 0 8 0 0 0 0 0 0 0 0 0 0 ]
link1 1 0.0660848617553711 [110 96 6 0 0 0 0 0 0 0 0 0 -21 -3 -22 -3 -21 -4 -22 -4 -21 -4 -22 -4 -21 -5 -22 -5 -21 -6 -21 -5 -22 -4 -22 -5 -22 -5 -22 -5 -22 -5 -21 -5 -22 -5 -20 -5 -22 -5 -21 -5 -22 -5 -21 -5 -20 -4 -22 -4 -22 -4 -22 -3 0 0 -22 -4 -21 -3 -23 -3 -21 -2 -23 -3 -22 -3 -23 -4 -23 -3 -22 -3 -22 -2 -23 -1 -23 -2 -23 -2 -24 -2 -22 -3 -23 -3 -21 -2 -22 -3 -22 -3 -20 -3 -20 -3 -19 -3 -19 -2 -19 -1 -18 -1 -18 -2 0 0 0 0 0 0 0 0 0 0 ]
link1 0 0.07304573059082031 [110 96 6 0 0 0 0 0 0 0 0 0 11 -12 12 -12 11 -11 12 -11 11 -10 12 -10 12 -10 12 -9 11 -9 11 -8 12 -9 11 -9 11 -9 11 -9 11 -9 11 -9 12 -9 11 -9 12 -9 12 -9 12 -8 12 -8 12 -8 12 -8 12 -8 12 -8 0 0 12 -8 12 -8 12 -8 11 -8 12 -7 11 -7 11 -7 11 -7 10 -7 10 -7 10 -8 10 -7 9 -7 9 -8 9 -8 9 -8 9 -8 9 -9 9 -8 8 -9 8 -9 8 -9 8 -9 8 -9 8 -9 7 -9 0 0 0 0 0 0 0 0 0 0 ]
link2 1 0.08835983276367188 [110 96 6 0 0 0 0 0 0 0 0 0 -23 7 -24 7 -24 6 -25 6 -25 5 -24 4 -24 4 -24 3 -24 2 -24 1 -24 1 -24 0 -23 1 -22 0 -21 0 -23 1 -21 0 -20 0 -20 0 -19 1 -19 0 -18 0 -18 0 -18 1 -18 1 -17 1 0 0 -16 2 -15 3 -15 3 -13 4 -13 3 -13 4 -13 4 -12 4 -11 4 -11 5 -10 5 -11 5 -9 5 -9 5 -10 6 -9 7 -9 7 -8 6 -7 7 -6 6 -8 6 -7 6 -7 6 -6 6 -6 6 -6 6 0 0 0 0 0 0 0 0 0 0 ]
link1 1 0.10983467102050781 [110 96 6 0 0 0 0 0 0 0 0 0 11 -11 11 -11 10 -11 12 -11 11 -11 13 -11 12 -11 12 -10 13 -10 12 -10 13 -10 13 -10 13 -10 13 -10 13 -10 13 -10 12 -10 12 -9 13 -10 13 -10 12 -10 13 -10 12 -9 12 -10 12 -10 12 -10 0 0 12 -10 12 -10 12 -11 11 -10 12 -11 12 -11 12 -11 12 -11 12 -11 12 -11 12 -11 12 -11 12 -10 12 -11 12 -10 12 -11 12 -10 12 -10 12 -10 11 -9 11 -9 10 -9 10 -8 10 -9 10 -9 9 -8 0 0 0 0 0 0 0 0 0 0 ]
link2 0 0.11568927764892578 [110 96 6 0 0 0 0 0 0 0 0 0 -27 -17 -28 -18 -27 -17 -28 -19 -27 -19 -27 -20 -26 -20 -26 -20 -25 -20 -24 -20 -24 -20 -23 -20 -22 -20 -20 -19 -19 -19 -17 -17 -16 -16 -14 -14 -15 -13 -14 -12 -13 -11 -13 -9 -12 -9 -13 -8 -12 -7 -12 -7 0 0 -9 -5 -8 -4 -7 -3 -6 -2 -5 -1 -4 1 -3 2 -3 3 -2 4 -2 5 -1 6 -1 8 0 9 1 9 1 10 2 11 2 11 3 12 4 12 5 13 6 14 7 14 8 15 10 16 10 17 12 18 0 0 0 0 0 0 0 0 0 0 ]
link1 1 0.10983467102050781 [110 96 6 0 0 0 0 0 0 0 0 0 11 -11 11 -11 10 -11 12 -11 11 -11 13 -11 12 -11 12 -10 13 -10 12 -10 13 -10 13 -10 13 -10 13 -10 13 -10 13 -10 12 -10 12 -9 13 -10 13 -10 12 -10 13 -10 12 -9 12 -10 12 -10 12 -10 0 0 12 -10 12 -10 12 -11 11 -10 12 -11 12 -11 12 -11 12 -11 12 -11 12 -11 12 -11 12 -11 12 -10 12 -11 12 -10 12 -11 12 -10 12 -10 12 -10 11 -9 11 -9 10 -9 10 -8 10 -9 10 -9 9 -8 0 0 0 0 0 0 0 0 0 0 ]
link1 0 0.11373543739318848 [110 96 6 0 0 0 0 0 0 0 0 0 -16 7 -17 6 -16 5 -16 5 -16 4 -16 4 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 4 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 -15 3 0 0 -15 3 -15 2 -15 2 -14 2 -15 2 -14 2 -14 2 -14 3 -13 2 -13 3 -13 3 -13 3 -13 4 -13 4 -13 4 -13 4 -11 4 -12 4 -12 5 -12 5 -12 5 -12 5 -11 5 -11 6 -11 6 -11 6 0 0 0 0 0 0 0 0 0 0 ]
link2 0 0.11568927764892578 [110 96 6 0 0 0 0 0 0 0 0 0 -27 -17 -28 -18 -27 -17 -28 -19 -27 -19 -27 -20 -26 -20 -26 -20 -25 -20 -24 -20 -24 -20 -23 -20 -22 -20 -20 -19 -19 -19 -17 -17 -16 -16 -14 -14 -15 -13 -14 -12 -13 -11 -13 -9 -12 -9 -13 -8 -12 -7 -12 -7 0 0 -9 -5 -8 -4 -7 -3 -6 -2 -5 -1 -4 1 -3 2 -3 3 -2 4 -2 5 -1 6 -1 8 0 9 1 9 1 10 2 11 2 11 3 12 4 12 5 13 6 14 7 14 8 15 10 16 10 17 12 18 0 0 0 0 0 0 0 0 0 0 ]
link2 1 0.13043999671936035 [110 96 6 0 0 0 0 0 0 0 0 0 -2 -26 0 -27 0 -27 0 -27 2 -26 2 -27 4 -26 5 -26 5 -26 4 -25 3 -25 4 -25 3 -25 3 -23 4 -23 4 -23 4 -22 4 -21 4 -21 4 -21 4 -20 4 -20 3 -18 1 -19 1 -18 1 -18 0 0 0 -16 0 -16 -1 -16 -1 -14 -2 -14 -2 -14 -2 -13 -3 -13 -3 -13 -4 -12 -5 -12 -5 -11 -6 -10 -5 -11 -5 -11 -6 -11 -7 -11 -6 -10 -6 -10 -6 -10 -7 -10 -6 -8 -7 -8 -6 -9 -7 -5 -7 -5 0 0 0 0 0 0 0 0 0 0 ]
link1 1 0.14690756797790527 [110 96 6 0 0 0 0 0 0 0 0 0 1 21 1 21 1 20 1 22 1 21 0 21 0 21 -1 21 -1 22 -1 21 -1 21 -1 21 -1 21 -1 21 -2 22 -1 21 -1 22 -1 20 -1 22 -1 21 -1 21 -1 21 -1 20 -1 21 -1 22 0 22 0 0 0 22 0 21 1 22 1 20 0 22 1 22 0 22 1 21 1 22 2 21 2 22 1 22 1 22 1 23 0 21 1 22 1 21 0 21 0 20 0 19 0 20 0 18 0 17 1 18 0 17 1 17 0 0 0 0 0 0 0 0 0 0 ]
link2 0 0.15865850448608398 [110 96 6 0 0 0 0 0 0 0 0 0 -20 -21 -20 -23 -20 -23 -21 -23 -19 -23 -19 -24 -18 -24 -18 -25 -17 -24 -16 -24 -16 -24 -15 -23 -13 -23 -12 -22 -11 -21 -11 -20 -10 -18 -9 -17 -9 -15 -9 -14 -9 -13 -9 -12 -9 -11 -9 -10 -8 -9 -7 -10 0 0 -7 -6 -6 -6 -6 -5 -4 -3 -4 -2 -5 0 -4 1 -4 2 -4 3 -3 4 -3 6 -3 6 -3 7 -3 8 -3 9 -2 10 -2 10 -2 11 -1 12 -1 13 0 14 0 15 1 16 2 17 3 18 3 20 0 0 0 0 0 0 0 0 0 0 ]
link1 0 0.15774202346801758 [110 96 6 0 0 0 0 0 0 0 0 0 -2 15 -3 15 -3 14 -3 14 -4 13 -4 13 -4 13 -4 13 -4 12 -4 12 -4 12 -4 12 -4 12 -4 13 -4 13 -4 13 -4 13 -4 13 -5 12 -4 13 -4 13 -5 12 -5 12 -5 12 -5 12 -6 12 0 0 -5 12 -5 12 -5 12 -5 11 -5 11 -5 11 -5 11 -5 11 -4 11 -4 11 -4 11 -4 11 -3 11 -3 10 -3 10 -3 11 -3 10 -3 10 -2 10 -2 10 -2 11 -2 10 -2 11 -1 11 -1 10 -1 10 0 0 0 0 0 0 0 0 0 0 ]
link2 1 0.16633105278015137 [110 96 6 0 0 0 0 0 0 0 0 0 25 3 25 3 25 4 26 5 25 5 25 7 25 7 24 8 23 7 23 8 24 8 22 8 22 8 21 8 20 8 21 7 20 8 18 7 19 7 19 7 18 7 17 6 16 6 17 5 16 4 16 5 0 0 14 3 15 2 15 2 13 1 13 0 13 0 13 -1 12 -1 11 -1 12 -1 12 -2 11 -2 10 -3 11 -3 10 -4 10 -4 10 -4 10 -5 10 -4 9 -5 9 -5 8 -5 8 -5 7 -5 7 -4 7 -5 0 0 0 0 0 0 0 0 0 0 ]
link1 1 0.1908576488494873 [110 96 6 0 0 0 0 0 0 0 0 0 -18 11 -18 11 -18 11 -19 12 -18 11 -19 11 -19 10 -19 9 -19 10 -19 10 -20 11 -20 10 -20 10 -19 10 -20 9 -20 10 -20 10 -19 10 -20 10 -20 9 -20 9 -20 9 -19 10 -20 11 -20 11 -19 11 0 0 -19 11 -19 11 -20 12 -18 12 -19 11 -20 12 -20 11 -19 12 -19 12 -19 12 -19 13 -19 12 -19 12 -20 12 -19 11 -19 12 -19 11 -19 11 -19 10 -18 10 -18 9 -17 9 -16 9 -16 10 -15 9 -15 10 0 0 0 0 0 0 0 0 0 0 ]
